latitude,longitude,mean_temperature,uncertainty_std
-88.57216851400727,215.625,-37.90609,1.5074061
-88.57216851400727,217.5,-37.93408,1.4995838
-88.57216851400727,219.375,-37.964252,1.4798133
-88.57216851400727,221.25,-37.97634,1.4566214
-88.57216851400727,223.125,-37.988277,1.4719936
-88.57216851400727,225.0,-38.01494,1.4534489
-88.57216851400727,226.875,-38.024193,1.4217496
-88.57216851400727,228.75,-38.051693,1.4066406
-88.57216851400727,230.625,-38.047867,1.40148
-88.57216851400727,232.5,-38.056087,1.3762515
-88.57216851400727,234.375,-38.059837,1.3479462
-88.57216851400727,236.25,-38.06691,1.324964
-88.57216851400727,238.125,-38.06232,1.3109332
-88.57216851400727,240.0,-38.062534,1.3029408
-88.57216851400727,241.875,-38.06146,1.2695607
-88.57216851400727,243.75,-38.04945,1.2670668
-88.57216851400727,245.625,-38.04728,1.2521145
-88.57216851400727,247.5,-38.0381,1.2386119
-88.57216851400727,249.375,-38.021595,1.2214621
-88.57216851400727,251.25,-38.01062,1.1996776
-88.57216851400727,253.125,-37.987747,1.185346
-88.57216851400727,255.0,-37.959175,1.1743195
-88.57216851400727,256.875,-37.9247,1.1799524
-88.57216851400727,258.75,-37.90601,1.1585304
-88.57216851400727,260.625,-37.871304,1.154981
-88.57216851400727,262.5,-37.8539,1.141389
-88.57216851400727,264.375,-37.807865,1.1400373
-88.57216851400727,266.25,-37.771168,1.1344348
-88.57216851400727,268.125,-37.755367,1.1218284
-88.57216851400727,270.0,-37.72199,1.116329
-88.57216851400727,271.875,-37.683746,1.1189842
-88.57216851400727,273.75,-37.64187,1.1189146
-88.57216851400727,275.625,-37.61689,1.1157653
-88.57216851400727,277.5,-37.582886,1.1077039
-88.57216851400727,279.375,-37.550014,1.105243
-88.57216851400727,281.25,-37.510307,1.1102843
-88.57216851400727,283.125,-37.47771,1.1053166
-88.57216851400727,285.0,-37.44519,1.1050572
-88.57216851400727,286.875,-37.431324,1.1017419
-88.57216851400727,288.75,-37.399292,1.1050642
-88.57216851400727,290.625,-37.381638,1.1028688
-88.57216851400727,292.5,-37.371635,1.1043587
-88.57216851400727,294.375,-37.349857,1.1019588
