latitude,longitude,mean_precipitation,uncertainty_std
-86.72253095466814,288.75,2.858889e-06,2.2205813e-06
-86.72253095466814,290.625,2.7462509e-06,2.196047e-06
-86.72253095466814,292.5,2.632691e-06,2.1549545e-06
-86.72253095466814,294.375,2.5976908e-06,2.08162e-06
-86.72253095466814,296.25,2.5556312e-06,2.1025264e-06
-86.72253095466814,298.125,2.4934661e-06,2.0790292e-06
-86.72253095466814,300.0,2.439978e-06,2.0542675e-06
-86.72253095466814,301.875,2.3584098e-06,1.9578324e-06
-86.72253095466814,303.75,2.2739002e-06,1.8773029e-06
-86.72253095466814,305.625,2.2422203e-06,1.8393597e-06
-86.72253095466814,307.5,2.2086956e-06,1.8332092e-06
-86.72253095466814,309.375,2.0948135e-06,1.7150522e-06
-86.72253095466814,311.25,2.0748312e-06,1.672119e-06
-86.72253095466814,313.125,2.0173006e-06,1.5651829e-06
-86.72253095466814,315.0,1.9317922e-06,1.5004368e-06
-86.72253095466814,316.875,1.876113e-06,1.4772718e-06
-86.72253095466814,318.75,1.83183e-06,1.4547888e-06
-86.72253095466814,320.625,1.7712115e-06,1.3919664e-06
-86.72253095466814,322.5,1.7354889e-06,1.3208444e-06
-86.72253095466814,324.375,1.6813585e-06,1.3038104e-06
-86.72253095466814,326.25,1.5986599e-06,1.2574718e-06
-86.72253095466814,328.125,1.5537048e-06,1.2244953e-06
-86.72253095466814,330.0,1.5237392e-06,1.2184294e-06
-86.72253095466814,331.875,1.4920978e-06,1.1535132e-06
-86.72253095466814,333.75,1.4664973e-06,1.1276458e-06
-86.72253095466814,335.625,1.4265189e-06,1.1500078e-06
-86.72253095466814,337.5,1.4317999e-06,1.1074007e-06
-86.72253095466814,339.375,1.4124774e-06,1.0859959e-06
-86.72253095466814,341.25,1.4019031e-06,1.0670545e-06
-86.72253095466814,343.125,1.4463222e-06,1.0354465e-06
-86.72253095466814,345.0,1.4388023e-06,1.0184306e-06
-86.72253095466814,346.875,1.424386e-06,1.0118931e-06
-86.72253095466814,348.75,1.4183142e-06,9.784965e-07
-86.72253095466814,350.625,1.4144601e-06,9.928807e-07
-86.72253095466814,352.5,1.4572039e-06,9.568922e-07
-86.72253095466814,354.375,1.5182237e-06,9.845612e-07
-86.72253095466814,356.25,1.5739886e-06,9.744656e-07
-86.72253095466814,358.125,1.5752225e-06,9.801578e-07
-84.86197029204237,0.0,1.7199981e-06,1.0590029e-06
-84.86197029204237,1.875,1.6466907e-06,9.8784e-07
-84.86197029204237,3.75,1.638157e-06,1.0239283e-06
-84.86197029204237,5.625,1.6622299e-06,1.0141943e-06
-84.86197029204237,7.5,1.5928333e-06,9.045009e-07
-84.86197029204237,9.375,1.577436e-06,9.4986393e-07
