latitude,longitude,mean_air_pressure,uncertainty_std
-88.57216851400727,320.625,99942.93,345.4532
-88.57216851400727,322.5,99941.77,345.68417
-88.57216851400727,324.375,99940.89,345.92578
-88.57216851400727,326.25,99940.49,346.16235
-88.57216851400727,328.125,99939.49,346.41708
-88.57216851400727,330.0,99938.08,346.66464
-88.57216851400727,331.875,99936.48,346.9218
-88.57216851400727,333.75,99936.2,347.1687
-88.57216851400727,335.625,99934.83,347.43134
-88.57216851400727,337.5,99933.84,347.69162
-88.57216851400727,339.375,99932.14,347.9548
-88.57216851400727,341.25,99931.21,348.20422
-88.57216851400727,343.125,99929.88,348.47733
-88.57216851400727,345.0,99928.32,348.73257
-88.57216851400727,346.875,99927.97,348.9996
-88.57216851400727,348.75,99926.34,349.26382
-88.57216851400727,350.625,99924.85,349.53055
-88.57216851400727,352.5,99923.6,349.80142
-88.57216851400727,354.375,99921.4,350.0634
-88.57216851400727,356.25,99920.89,350.3331
-88.57216851400727,358.125,99918.3,350.60068
-86.72253095466814,0.0,100022.06,364.73813
-86.72253095466814,1.875,100028.73,364.9023
-86.72253095466814,3.75,100035.36,365.02872
-86.72253095466814,5.625,100039.53,365.12335
-86.72253095466814,7.5,100044.22,365.21005
-86.72253095466814,9.375,100047.36,365.27563
-86.72253095466814,11.25,100048.39,365.33838
-86.72253095466814,13.125,100049.64,365.40668
-86.72253095466814,15.0,100049.8,365.4917
-86.72253095466814,16.875,100049.23,365.58005
-86.72253095466814,18.75,100048.64,365.69238
-86.72253095466814,20.625,100045.2,365.81116
-86.72253095466814,22.5,100042.97,365.9703
-86.72253095466814,24.375,100038.6,366.1471
-86.72253095466814,26.25,100033.02,366.35812
-86.72253095466814,28.125,100028.8,366.58136
-86.72253095466814,30.0,100022.36,366.82718
-86.72253095466814,31.875,100015.64,367.0845
-86.72253095466814,33.75,100008.27,367.37097
-86.72253095466814,35.625,100001.38,367.6499
-86.72253095466814,37.5,99993.7,367.94955
-86.72253095466814,39.375,99986.74,368.2452
-86.72253095466814,41.25,99979.48,368.531
-86.72253095466814,43.125,99972.2,368.81415
-86.72253095466814,45.0,99963.95,369.0739
-86.72253095466814,46.875,99957.54,369.33026
-86.72253095466814,48.75,99950.45,369.56354
-86.72253095466814,50.625,99945.26,369.7921
-86.72253095466814,52.5,99939.04,370.0038
-86.72253095466814,54.375,99935.12,370.2071
-86.72253095466814,56.25,99931.33,370.40067
-86.72253095466814,58.125,99927.74,370.5983
-86.72253095466814,60.0,99926.62,370.80075
-86.72253095466814,61.875,99924.68,371.00565
-86.72253095466814,63.75,99924.64,371.24493
-86.72253095466814,65.625,99926.26,371.50482
-86.72253095466814,67.5,99927.52,371.81305
-86.72253095466814,69.375,99929.9,372.14926
-86.72253095466814,71.25,99933.16,372.54596
-86.72253095466814,73.125,99937.96,372.99872
-86.72253095466814,75.0,99943.31,373.51538
-86.72253095466814,76.875,99947.94,374.099
-86.72253095466814,78.75,99954.09,374.75568
-86.72253095466814,80.625,99960.0,375.4849
-86.72253095466814,82.5,99964.96,376.29123
-86.72253095466814,84.375,99970.76,377.1626
-86.72253095466814,86.25,99975.26,378.09146
-86.72253095466814,88.125,99980.2,379.10187
-86.72253095466814,90.0,99984.84,380.15964
-86.72253095466814,91.875,99987.23,381.26608
-86.72253095466814,93.75,99989.52,382.42535
-86.72253095466814,95.625,99990.28,383.61493
-86.72253095466814,97.5,99989.63,384.82065
-86.72253095466814,99.375,99986.74,386.04523
-86.72253095466814,101.25,99983.86,387.27905
-86.72253095466814,103.125,99978.39,388.4961
-86.72253095466814,105.0,99970.83,389.70074
-86.72253095466814,106.875,99962.16,390.87164
-86.72253095466814,108.75,99951.24,392.00128
-86.72253095466814,110.625,99938.76,393.07257
-86.72253095466814,112.5,99925.86,394.08496
-86.72253095466814,114.375,99908.96,394.99628
-86.72253095466814,116.25,99891.46,395.83746
-86.72253095466814,118.125,99873.23,396.5788
-86.72253095466814,120.0,99851.99,397.18292
-86.72253095466814,121.875,99829.69,397.682
-86.72253095466814,123.75,99805.94,398.0453
-86.72253095466814,125.625,99781.92,398.2907
-86.72253095466814,127.5,99756.4,398.3806
-86.72253095466814,129.375,99729.56,398.32635
-86.72253095466814,131.25,99701.67,398.11716
-86.72253095466814,133.125,99672.95,397.78613
-86.72253095466814,135.0,99644.86,397.30325
-86.72253095466814,136.875,99616.18,396.67538
-86.72253095466814,138.75,99587.97,395.93457
-86.72253095466814,140.625,99558.55,395.0584
-86.72253095466814,142.5,99531.02,394.08377
-86.72253095466814,144.375,99502.96,393.00586
-86.72253095466814,146.25,99475.39,391.84338
-86.72253095466814,148.125,99450.15,390.62146
-86.72253095466814,150.0,99424.71,389.33157
-86.72253095466814,151.875,99401.18,388.01065
-86.72253095466814,153.75,99379.8,386.67224
-86.72253095466814,155.625,99359.02,385.3087
-86.72253095466814,157.5,99340.55,383.9675
-86.72253095466814,159.375,99323.01,382.62103
-86.72253095466814,161.25,99308.35,381.3107
-86.72253095466814,163.125,99295.46,380.02966
-86.72253095466814,165.0,99284.04,378.79102
-86.72253095466814,166.875,99274.68,377.59552
-86.72253095466814,168.75,99267.57,376.46008
-86.72253095466814,170.625,99261.34,375.36237
-86.72253095466814,172.5,99256.9,374.3198
-86.72253095466814,174.375,99254.98,373.34488
-86.72253095466814,176.25,99253.58,372.3998
-86.72253095466814,178.125,99254.5,371.5111
-86.72253095466814,180.0,99256.94,370.68195
-86.72253095466814,181.875,99260.14,369.8767
-86.72253095466814,183.75,99263.42,369.11218
-86.72253095466814,185.625,99268.84,368.38138
-86.72253095466814,187.5,99274.76,367.67957
-86.72253095466814,189.375,99282.4,367.0106
-86.72253095466814,191.25,99289.34,366.3496
-86.72253095466814,193.125,99298.68,365.71338
-86.72253095466814,195.0,99307.34,365.08157
-86.72253095466814,196.875,99317.86,364.45868
-86.72253095466814,198.75,99327.96,363.8263
-86.72253095466814,200.625,99339.68,363.19928
-86.72253095466814,202.5,99351.58,362.5548
-86.72253095466814,204.375,99364.0,361.91077
-86.72253095466814,206.25,99377.72,361.24432
-86.72253095466814,208.125,99391.4,360.545
-86.72253095466814,210.0,99406.78,359.82938
-86.72253095466814,211.875,99422.13,359.08017
-86.72253095466814,213.75,99438.85,358.302
-86.72253095466814,215.625,99454.88,357.48203
-86.72253095466814,217.5,99472.46,356.63257
